week,season_year,month,drive_id,uarter,time,pos_team,def_team,home,pos_division,def_division,yardline,down,yards_to_go,play_type,play_direction,yards,game_time
1,2015,9,1,1,4500,PIT,NE,0,AFC-NORTH,AFC-EAST,13,1,10,0,right tackle,18,Prime
1,2015,9,1,1,4461,PIT,NE,0,AFC-NORTH,AFC-EAST,32,1,10,1,short right,9,Prime
1,2015,9,1,1,4444,PIT,NE,0,AFC-NORTH,AFC-EAST,42,2,1,0,right guard,4,Prime
1,2015,9,1,1,4406,PIT,NE,0,AFC-NORTH,AFC-EAST,56,1,10,1,short right,14,Prime
1,2015,9,1,1,4362,PIT,NE,0,AFC-NORTH,AFC-EAST,71,1,10,0,right guard,11,Prime
1,2015,9,1,1,4325,PIT,NE,0,AFC-NORTH,AFC-EAST,83,1,10,1,Sack,-8,Prime
1,2015,9,1,1,4253,PIT,NE,0,AFC-NORTH,AFC-EAST,63,2,28,0,right guard,6,Prime
1,2015,9,1,1,4228,PIT,NE,0,AFC-NORTH,AFC-EAST,70,3,22,1,short right,10,Prime
1,2015,9,2,1,4154,NE,PIT,1,AFC-EAST,AFC-NORTH,26,1,10,1,short left,12,Prime
1,2015,9,2,1,4140,NE,PIT,1,AFC-EAST,AFC-NORTH,39,1,10,1,short left,13,Prime
1,2015,9,2,1,4111,NE,PIT,1,AFC-EAST,AFC-NORTH,62,1,10,1,short right,0,Prime
1,2015,9,2,1,4107,NE,PIT,1,AFC-EAST,AFC-NORTH,62,2,10,1,deep right,0,Prime
1,2015,9,2,1,4102,NE,PIT,1,AFC-EAST,AFC-NORTH,62,3,10,1,Sack,0,Prime
1,2015,9,3,1,4061,PIT,NE,0,AFC-NORTH,AFC-EAST,48,1,10,0,left guard,6,Prime
1,2015,9,3,1,4027,PIT,NE,0,AFC-NORTH,AFC-EAST,5,2,4,0,left tackle,-1,Prime
1,2015,9,3,1,3986,PIT,NE,0,AFC-NORTH,AFC-EAST,4,3,5,1,short left,10,Prime
1,2015,9,3,1,3929,PIT,NE,0,AFC-NORTH,AFC-EAST,9,1,15,1,short right,3,Prime
1,2015,9,3,1,3888,PIT,NE,0,AFC-NORTH,AFC-EAST,13,2,12,1,Sack,-6,Prime
1,2015,9,3,1,3843,PIT,NE,0,AFC-NORTH,AFC-EAST,6,3,18,1,deep left,17,Prime
1,2015,9,4,1,3794,NE,PIT,1,AFC-EAST,AFC-NORTH,2,1,10,0,left tackle,8,Prime
1,2015,9,4,1,3760,NE,PIT,1,AFC-EAST,AFC-NORTH,10,2,2,0,center,1,Prime
1,2015,9,4,1,3725,NE,PIT,1,AFC-EAST,AFC-NORTH,11,3,1,0,center,1,Prime
1,2015,9,4,1,3645,NE,PIT,1,AFC-EAST,AFC-NORTH,2,1,20,1,short left,9,Prime
1,2015,9,4,1,3612,NE,PIT,1,AFC-EAST,AFC-NORTH,11,2,11,1,short left,9,Prime
1,2015,9,4,2,3600,NE,PIT,1,AFC-EAST,AFC-NORTH,21,3,2,0,left tackle,9,Prime
1,2015,9,4,2,3570,NE,PIT,1,AFC-EAST,AFC-NORTH,31,1,10,0,left tackle,-3,Prime
1,2015,9,4,2,3535,NE,PIT,1,AFC-EAST,AFC-NORTH,28,2,13,1,short left,7,Prime
1,2015,9,4,2,3501,NE,PIT,1,AFC-EAST,AFC-NORTH,36,3,6,1,short middle,8,Prime
1,2015,9,4,2,3464,NE,PIT,1,AFC-EAST,AFC-NORTH,44,1,10,0,right tackle,3,Prime
1,2015,9,4,2,3433,NE,PIT,1,AFC-EAST,AFC-NORTH,57,2,7,1,short right,13,Prime
1,2015,9,4,2,3400,NE,PIT,1,AFC-EAST,AFC-NORTH,71,1,10,1,deep right,19,Prime
