week,season_year,month,drive_id,uarter,time,pos_team,def_team,home,pos_division,def_division,yardline,down,yards_to_go,play_type,play_direction,yards,game_time
1,2014,9,1,1,4496,GB,SEA,0,NFC-NORTH,NFC-WEST,5,1,10,0,right tackle,6,Prime
1,2014,9,1,1,4451,GB,SEA,0,NFC-NORTH,NFC-WEST,17,1,10,0,center,15,Prime
1,2014,9,1,1,4412,GB,SEA,0,NFC-NORTH,NFC-WEST,33,1,10,0,right guard,2,Prime
1,2014,9,1,1,4386,GB,SEA,0,NFC-NORTH,NFC-WEST,36,2,8,1,short left,-2,Prime
1,2014,9,1,1,4350,GB,SEA,0,NFC-NORTH,NFC-WEST,33,3,10,1,Sack,0,Prime
1,2014,9,2,1,4313,SEA,GB,1,NFC-WEST,NFC-NORTH,29,1,10,1,short left,4,Prime
1,2014,9,2,1,4280,SEA,GB,1,NFC-WEST,NFC-NORTH,33,2,6,0,left tackle,5,Prime
1,2014,9,2,1,4244,SEA,GB,1,NFC-WEST,NFC-NORTH,39,3,1,1,short right,4,Prime
1,2014,9,2,1,4210,SEA,GB,1,NFC-WEST,NFC-NORTH,43,1,10,1,short right,8,Prime
1,2014,9,2,1,4170,SEA,GB,1,NFC-WEST,NFC-NORTH,61,2,2,0,left tackle,0,Prime
1,2014,9,2,1,4131,SEA,GB,1,NFC-WEST,NFC-NORTH,61,3,2,1,short left,0,Prime
1,2014,9,2,1,4117,SEA,GB,1,NFC-WEST,NFC-NORTH,67,1,10,0,left tackle,13,Prime
1,2014,9,2,1,4078,SEA,GB,1,NFC-WEST,NFC-NORTH,81,1,10,1,Sack,0,Prime
1,2014,9,2,1,4047,SEA,GB,1,NFC-WEST,NFC-NORTH,81,2,10,0,left tackle,5,Prime
1,2014,9,2,1,4006,SEA,GB,1,NFC-WEST,NFC-NORTH,86,3,5,1,short right,4,Prime
1,2014,9,3,1,3963,GB,SEA,0,NFC-NORTH,NFC-WEST,13,1,10,1,short left,11,Prime
1,2014,9,3,1,3943,GB,SEA,0,NFC-NORTH,NFC-WEST,25,1,10,1,short right,-5,Prime
1,2014,9,3,1,3895,GB,SEA,0,NFC-NORTH,NFC-WEST,19,2,15,1,deep left,0,Prime
1,2014,9,3,1,3891,GB,SEA,0,NFC-NORTH,NFC-WEST,19,3,15,1,deep middle,0,Prime
1,2014,9,4,1,3872,GB,SEA,0,NFC-NORTH,NFC-WEST,72,1,10,0,left tackle,0,Prime
1,2014,9,4,1,3835,GB,SEA,0,NFC-NORTH,NFC-WEST,72,2,10,0,center,2,Prime
1,2014,9,4,1,3799,GB,SEA,0,NFC-NORTH,NFC-WEST,74,3,8,1,short left,8,Prime
1,2014,9,4,1,3759,GB,SEA,0,NFC-NORTH,NFC-WEST,83,1,10,1,short left,16,Prime
1,2014,9,4,1,3727,GB,SEA,0,NFC-NORTH,NFC-WEST,51,1,8,1,short left,6,Prime
1,2014,9,4,1,3690,GB,SEA,0,NFC-NORTH,NFC-WEST,88,2,2,0,left guard,2,Prime
1,2014,9,5,1,3659,SEA,GB,1,NFC-WEST,NFC-NORTH,2,1,20,0,left tackle,10,Prime
1,2014,9,5,1,3620,SEA,GB,1,NFC-WEST,NFC-NORTH,13,2,10,1,short right,9,Prime
1,2014,9,5,2,3600,SEA,GB,1,NFC-WEST,NFC-NORTH,22,3,1,0,right tackle,7,Prime
1,2014,9,5,2,3519,SEA,GB,1,NFC-WEST,NFC-NORTH,28,2,12,1,deep left,33,Prime
1,2014,9,5,2,3488,SEA,GB,1,NFC-WEST,NFC-NORTH,73,1,10,1,short left,33,Prime
1,2014,9,6,2,3474,GB,SEA,0,NFC-NORTH,NFC-WEST,8,1,10,0,left guard,1,Prime
1,2014,9,6,2,3444,GB,SEA,0,NFC-NORTH,NFC-WEST,9,2,9,1,short right,4,Prime
1,2014,9,6,2,3397,GB,SEA,0,NFC-NORTH,NFC-WEST,14,3,5,1,short middle,11,Prime
1,2014,9,6,2,3374,GB,SEA,0,NFC-NORTH,NFC-WEST,26,1,10,0,left tackle,3,Prime
1,2014,9,6,2,3338,GB,SEA,0,NFC-NORTH,NFC-WEST,29,2,7,0,center,3,Prime
